temporada,semana,dia,fecha,hora,local,visitante,sedes,arbitro,resultado,local_posesion,visitante_posesion,local_goles,visitante_goles,local_asistencias,local_goles_penal,local_penales,local_disparos,local_disparos_puerta,local_amarillas,local_rojas,local_faltas_cometidas,local_faltas_recibidas,local_posiciones_adelantedas,local_pases_cruzados,local_derribos,local_intercepciones,local_goles_contra,visitante_asistencias,visitante_goles_penal,visitante_penales,visitante_disparos,visitante_disparos_puerta,visitante_amarillas,visitante_rojas,visitante_faltas_cometidas,visitante_faltas_recibidas,visitante_posiciones_adelantedas,visitante_pases_cruzados,visitante_derribos,visitante_intercepciones,visitante_goles_contra,local_puntos_acumulados_temporada,visitante_puntos_acumulados_temporada
2016-2017,1,Vie,2016-08-26,19:00,Sarmiento,Arsenal,Estadio Eva Peron de Junín,Ariel Penel,local,0.44,0.56,1,0,0,1,1,18,6,3,0,13,14,3,23,17,17,0,0,0,0,8,3,3,1,16,15,0,21,11,19,0,0,0
2016-2017,1,Sáb,2016-08-27,14:00,Gimnasia ELP,Vélez Sarsf,Estadio Juan Carmelo Zerillo,Silvio Trucco,local,0.33,0.67,2,0,2,0,0,7,4,2,1,15,20,0,17,16,17,0,0,0,0,10,3,4,1,22,13,0,32,18,18,0,0,0
2016-2017,1,Sáb,2016-08-27,16:00,Rosario Cent,Defensa y Just,Estadio Dr. Lisandro de la Torre,Mauro Vigliano,empate,0.64,0.36,0,0,0,0,0,20,6,1,0,18,19,3,35,19,12,0,0,0,0,3,1,3,0,21,18,1,8,26,26,0,0,0
2016-2017,1,Sáb,2016-08-27,18:00,Racing Club,Talleres,Estadio Presidente Juan Domingo Perón,Sergio Pezzotta,local,0.55,0.45,1,0,0,0,0,9,2,2,0,17,17,2,43,21,27,1,0,0,0,6,1,2,0,20,17,2,19,22,24,0,0,0
2016-2017,1,Sáb,2016-08-27,19:00,Tucumán,Rafaela,Estadio Monumental Presidente José Fierr...,Facundo Tello,local,0.55,0.45,1,0,1,0,0,8,2,2,1,12,19,0,17,17,9,0,0,0,0,7,4,1,0,19,12,2,24,16,27,0,0,0
2016-2017,1,Sáb,2016-08-27,20:00,San Lorenzo,San Martín SJ,Estadio Pedro Bidegaín,Néstor Pitana,empate,0.59,0.41,2,2,0,1,1,14,5,1,0,19,13,1,24,14,17,0,0,0,0,12,4,4,0,15,19,1,9,25,20,0,0,0
2016-2017,1,Vie,2016-08-26,21:15,Godoy Cruz,CA Huracán,Estadio Malvinas Argentinas,Federico Beligoy,local,0.39,0.61,1,0,1,0,0,11,4,3,0,20,14,0,16,17,19,0,0,0,0,9,4,4,0,14,18,3,16,17,19,0,0,0
2016-2017,1,Dom,2016-08-28,14:00,Tigre,Estudiantes,Estadio José Dellagiovanna,Darío Herrera,visitante,0.39,0.62,0,3,0,0,0,13,4,2,0,13,14,1,26,19,13,0,2,0,0,12,7,1,0,15,13,0,23,18,18,0,0,0
2016-2017,1,Dom,2016-08-28,14:10,Quilmes,Newell's OB,Estadio Centenario Dr. José Luis Meiszne...,Jorge Baliño,visitante,0.48,0.52,0,1,0,0,0,11,5,5,0,22,20,1,30,20,12,0,0,1,1,12,5,5,1,22,21,1,27,14,17,0,0,0
2016-2017,1,Dom,2016-08-28,16:00,Belgrano,Independiente,Estadio Mario Alberto Kempes,Patricio Loustau,visitante,0.41,0.59,0,1,0,0,0,12,1,3,0,25,11,3,25,25,13,0,1,0,0,10,2,2,0,11,21,2,13,19,32,0,0,0
2016-2017,1,Dom,2016-08-28,16:15,CA Unión,Club Olimpo,Estadio 15 de Abril,Mariano González,local,0.45,0.55,1,0,1,0,0,4,1,4,0,15,15,2,15,23,25,0,0,0,0,2,1,4,0,16,13,4,17,22,18,0,0,0
2016-2017,1,Dom,2016-08-28,18:00,River Plate,Banfield,Estadio Monumental Antonio Vespucio Libe...,Fernando Rapallini,local,0.71,0.29,4,1,1,0,0,11,7,0,0,14,17,5,23,13,12,0,1,0,0,6,2,3,0,17,13,2,10,17,20,0,0,0
2016-2017,1,Dom,2016-08-28,20:00,Lanús,Boca Juniors,Estadio Ciudad de Lanús,Diego Abal,local,0.5,0.5,1,0,0,0,1,10,3,1,0,15,19,2,9,10,19,0,0,0,0,14,3,1,0,19,12,1,21,14,16,0,0,0
2016-2017,1,Lun,2016-08-29,19:00,Aldosivi,Colón,Estadio José María Minella,Germán Delfino,visitante,0.49,0.51,0,2,0,0,0,12,2,2,0,20,15,7,38,14,12,0,1,0,0,10,3,1,0,15,17,3,11,9,17,0,0,0
2016-2017,1,Lun,2016-08-29,21:15,Temperley,Patronato,Estadio Alfredo Martín Beranger,Fernando Espinoza,local,0.46,0.54,1,0,1,0,0,11,5,4,0,17,11,3,24,21,36,0,0,0,0,14,3,3,0,11,15,3,22,11,17,0,0,0
2016-2017,2,Vie,2016-09-09,19:00,Patronato,Gimnasia ELP,Estadio Presbítero Bartolomé Grella,Saúl Laverni,visitante,0.66,0.35,0,1,0,0,0,19,11,0,0,16,9,2,29,13,13,0,1,0,0,8,3,1,0,9,15,2,16,15,12,0,0,3
2016-2017,2,Sáb,2016-09-10,14:00,Club Olimpo,Lanús,Estadio Roberto Natalio Carminatti,Fernando Espinoza,empate,0.35,0.65,0,0,0,0,0,9,2,2,0,18,9,3,19,15,26,0,0,0,0,5,1,1,0,12,16,1,11,16,19,0,0,3
2016-2017,2,Sáb,2016-09-10,14:45,Banfield,Colón,Estadio Florencio Solá,Silvio Trucco,empate,0.42,0.58,0,0,0,0,0,10,1,2,0,17,16,4,27,12,12,0,0,0,0,11,5,3,0,19,17,3,16,22,10,0,0,3
2016-2017,2,Sáb,2016-09-10,16:00,San Martín SJ,Racing Club,Estadio Ingeniero Hilario Sánchez,Fernando Rapallini,visitante,0.62,0.38,0,2,0,0,0,15,3,2,0,16,12,1,28,19,14,0,2,0,0,14,5,1,0,11,15,4,18,17,15,0,1,3
2016-2017,2,Sáb,2016-09-10,17:00,CA Unión,Aldosivi,Estadio 15 de Abril,Federico Beligoy,empate,0.54,0.46,0,0,0,0,0,10,2,1,1,11,12,1,8,14,12,0,0,0,0,7,3,3,0,16,10,0,26,18,19,0,3,0
2016-2017,2,Sáb,2016-09-10,18:00,Defensa y Just,San Lorenzo,Estadio Norberto Tito Tomaghello,Juan Pompei,visitante,0.65,0.35,0,1,0,0,0,17,5,4,0,16,16,5,32,6,6,1,1,0,0,9,4,3,0,16,14,1,18,13,15,0,1,1
2016-2017,2,Sáb,2016-09-10,20:00,Independiente,Godoy Cruz,Estadio Libertadores de América,Darío Herrera,local,0.57,0.43,2,0,2,0,0,14,4,2,0,15,19,4,23,22,24,0,0,0,0,9,1,3,0,19,15,3,11,12,17,0,3,3
2016-2017,2,Vie,2016-09-09,21:15,CA Huracán,Quilmes,Estadio Tomás Adolfo Ducó,Héctor Paletta,empate,0.62,0.38,1,1,0,0,0,13,2,2,0,15,17,1,26,13,12,0,1,0,0,16,3,2,0,17,15,1,16,9,18,0,0,0
2016-2017,2,Dom,2016-09-11,14:00,Newell's OB,Tigre,Estadio Marcelo Alberto Bielsa,Patricio Loustau,local,0.54,0.47,1,0,1,0,0,16,9,2,0,12,12,0,25,16,17,0,0,0,1,17,5,3,0,17,10,1,21,8,10,0,3,0
2016-2017,2,Dom,2016-09-11,16:00,Vélez Sarsf,Rosario Cent,Estadio José Amalfitani,Fernando Echenique,local,0.36,0.64,2,0,1,0,0,11,5,3,0,23,19,1,11,23,19,0,0,0,0,10,3,4,1,18,23,2,23,14,7,0,0,1
2016-2017,2,Dom,2016-09-11,16:15,Estudiantes,Sarmiento,Estadio Ciudad de La Plata,Diego Abal,local,0.65,0.35,1,0,1,0,0,11,5,2,0,10,15,1,25,18,16,0,0,0,0,9,5,2,0,18,10,2,14,22,18,0,3,3
2016-2017,2,Dom,2016-09-11,18:00,Boca Juniors,Belgrano,Estadio Alberto José Armando,Germán Delfino,local,0.48,0.52,3,0,1,0,0,13,7,1,1,10,23,0,16,12,14,0,0,0,0,6,1,6,1,26,9,3,16,24,14,0,0,0
2016-2017,2,Dom,2016-09-11,20:00,Talleres,River Plate,Estadio Mario Alberto Kempes,Néstor Pitana,visitante,0.38,0.62,0,1,0,0,0,9,3,2,2,22,13,3,19,17,8,0,0,0,0,11,6,2,0,13,20,0,13,12,10,0,0,3
2016-2017,2,Lun,2016-09-12,19:00,Arsenal,Tucumán,Estadio Julio Humberto Grondona,Jorge Baliño,visitante,0.53,0.47,1,3,1,0,0,15,3,2,0,12,13,2,18,9,21,0,2,1,2,19,7,1,0,15,9,1,17,18,26,0,0,3
2016-2017,2,Lun,2016-09-12,21:15,Rafaela,Temperley,Estadio Nuevo Monumental,Mauro Vigliano,local,0.44,0.56,1,0,0,0,0,10,5,2,0,20,10,3,10,11,21,0,0,0,0,11,5,4,0,11,18,3,27,14,14,0,0,3
2016-2017,3,Sáb,2016-09-17,14:00,Lanús,CA Unión,Estadio Ciudad de Lanús,Jorge Baliño,visitante,0.76,0.25,0,1,0,0,0,11,0,4,0,12,14,1,14,12,12,0,1,0,0,9,6,2,0,15,10,2,14,19,16,0,4,4
2016-2017,3,Sáb,2016-09-17,16:00,San Lorenzo,Vélez Sarsf,Estadio Pedro Bidegaín,Darío Herrera,local,0.54,0.46,2,1,2,0,0,9,4,0,0,9,13,1,22,18,17,0,1,0,0,7,4,4,0,15,8,0,18,26,12,0,4,3
2016-2017,3,Sáb,2016-09-17,16:15,Rosario Cent,Patronato,Estadio Dr. Lisandro de la Torre,Fernando Rapallini,local,0.57,0.43,2,1,1,0,0,15,6,5,2,20,14,2,15,16,18,0,1,0,0,9,6,4,2,16,17,0,14,21,19,0,1,0
2016-2017,3,Sáb,2016-09-17,17:00,Aldosivi,Banfield,Estadio José María Minella,Nicolás Lamolina,visitante,0.47,0.53,1,3,1,0,0,10,2,3,2,16,7,3,31,19,21,0,3,0,0,15,6,5,0,6,16,1,15,14,8,0,1,1
2016-2017,3,Sáb,2016-09-17,18:00,Quilmes,Independiente,Estadio Centenario Dr. José Luis Meiszne...,Mariano González,visitante,0.3,0.7,0,1,1,0,0,9,3,1,0,15,11,4,20,12,14,0,1,0,0,10,2,1,0,14,14,2,18,25,19,0,1,6
2016-2017,3,Sáb,2016-09-17,20:15,Sarmiento,Newell's OB,Estadio Eva Peron de Junín,Germán Delfino,empate,0.5,0.5,1,1,1,0,0,18,6,2,0,17,14,0,31,18,22,0,1,0,0,7,2,4,0,16,15,1,15,11,30,0,3,6
2016-2017,3,Vie,2016-09-16,21:15,Colón,Talleres,Estadio Brigadier General Estanislao Lóp...,Facundo Tello,local,0.56,0.44,1,0,0,1,1,12,3,3,0,16,17,2,21,23,20,0,0,0,0,9,3,3,1,18,15,7,14,15,16,0,4,0
2016-2017,3,Dom,2016-09-18,14:00,Tucumán,Estudiantes,Estadio Monumental Presidente José Fierr...,Silvio Trucco,visitante,0.51,0.5,0,2,0,0,0,16,5,2,0,17,12,3,32,27,13,0,1,0,0,8,2,3,0,13,15,1,11,20,13,0,6,6
